"","Sector","hhsize","V1"
"1","RURAL","1",0.0182006087249489
"2","RURAL","2",0.0646586806806462
"3","RURAL","3",0.100831269221121
"4","RURAL","4",0.181729917966236
"5","RURAL","5",0.184654820102335
"6","RURAL","6",0.15829785789683
"7","RURAL","7",0.0993121750054648
"8","RURAL","8",0.0703158460277236
"9","RURAL","9",0.0434323767068708
"10","RURAL","10",0.0380666914220412
"11","RURAL","11",0.0144611905783853
"12","RURAL","12",0.0102785877064619
"13","RURAL","13",0.00483215698779416
"14","RURAL","14",0.00412398483215699
"15","RURAL","15",0.00171173922208498
"16","RURAL","16",0.00126429506187827
"17","RURAL","17",0.00121157068037286
"18","RURAL","18",0.000851618953614531
"19","RURAL","19",0.000476486060282556
"20","RURAL","20",0.00041230259546046
"21","RURAL","21",0.000154769595176572
"22","RURAL","22",0.000192901234567901
"23","RURAL","23",0.000300068587105624
"24","RURAL","24",0.0000180844907407407
"25","RURAL","25",0.000162425009984199
"26","RURAL","26",0.0000107167352537723
"27","RURAL","28",0.0000120563271604938
"28","RURAL","31",0.0000248015873015873
"29","URBAN","1",0.0327752010848298
"30","URBAN","2",0.0703990488751986
"31","URBAN","3",0.126072406006399
"32","URBAN","4",0.217229264525063
"33","URBAN","5",0.189693682495336
"34","URBAN","6",0.132786529204962
"35","URBAN","7",0.0842336411901069
"36","URBAN","8",0.0502483668278461
"37","URBAN","9",0.0363763481917948
"38","URBAN","10",0.0294079070023173
"39","URBAN","11",0.010507067688473
"40","URBAN","12",0.00687167798451408
"41","URBAN","13",0.00359372335475693
"42","URBAN","14",0.00275366732655725
"43","URBAN","15",0.00251604760432194
"44","URBAN","16",0.00234083198339031
"45","URBAN","17",0.000433703947717824
"46","URBAN","18",0.000304367180965417
"47","URBAN","19",0.000737067798823307
"48","URBAN","20",0.0000746664644339551
"49","URBAN","21",0.0000864307563653969
"50","URBAN","22",0.000479721803251215
"51","URBAN","26",0.000037037037037037
"52","URBAN","28",0.0000244468891333578
"53","URBAN","29",0.0000171467764060357
