"","Sector","SocialGroup","V1"
"1","RURAL","Casual labour in agriculture",0.174776383861914
"2","RURAL","Casual labour in non-agriculture",0.140903530737978
"3","RURAL","Others",0.0600276631078345
"4","RURAL","Regular wage/Salary earning",0.100245468765938
"5","RURAL","Self-Employed in Agriculture",0.380967685991084
"6","RURAL","Self-Employed in Non-Agriculture",0.144643044620607
"7","URBAN","Casual Labour",0.151872368918226
"8","URBAN","Others",0.092846799269191
"9","URBAN","Regular Wage/Salary Earning",0.40372593697499
"10","URBAN","Self-Employed",0.353600235516044
