"","Sector","SocialGroup","rates"
"1","RURAL","Buddhism",0.00599107072893083
"2","RURAL","Christianity",0.023865874314422
"3","RURAL","Hinduism",0.836683656601023
"4","RURAL","Islam",0.116669232767718
"5","RURAL","Jainism",0.000861753981001927
"6","RURAL","Others",0.00509659345413767
"7","RURAL","Sikhism",0.0254797421797416
"8","RURAL","Zoroastrianism",0.000598565259656515
"9","URBAN","Buddhism",0.00942866694771427
"10","URBAN","Christianity",0.0341815715092201
"11","URBAN","Hinduism",0.795962616144257
"12","URBAN","Islam",0.147357657650937
"13","URBAN","Others",0.00397391355591715
"14","URBAN","Sikhism",0.0189800534495642
"15","URBAN","Jainism",0.00941842327072616
"16","URBAN","Zoroastrianism",0.00261617683833479
