"","Sector","Religion","rates"
"1","RURAL","Buddhism",0.0113676148604158
"2","RURAL","Christianity",0.0606170863580124
"3","RURAL","Hinduism",0.849760027613027
"4","RURAL","Islam",0.111810562931856
"5","RURAL","Jainism",0.00218235719948868
"6","RURAL","Others",0.0094715319085118
"7","RURAL","Sikhism",0.0242763621757236
"8","RURAL","Zoroastrianism",0.00563936781609195
"9","URBAN","Buddhism",0.0171483695505696
"10","URBAN","Christianity",0.0433900968814581
"11","URBAN","Hinduism",0.786566318215778
"12","URBAN","Islam",0.191710041926044
"13","URBAN","Others",0.0117991435267983
"14","URBAN","Sikhism",0.0218505071520639
"15","URBAN","Jainism",0.0105154844228257
"16","URBAN","Zoroastrianism",0.00412477857348754
