"","Sector","hhsize","rates"
"1","RURAL","1",0.0384065464812621
"2","RURAL","2",0.107805326967672
"3","RURAL","3",0.137850541557298
"4","RURAL","4",0.228027080455944
"5","RURAL","5",0.195966742487555
"6","RURAL","6",0.130510908838235
"7","RURAL","7",0.0675327208695569
"8","RURAL","8",0.0416734135421417
"9","RURAL","9",0.0219567051376684
"10","RURAL","10",0.0166061780238911
"11","RURAL","11",0.00549245174142812
"12","RURAL","12",0.00279850916163007
"13","RURAL","13",0.00197149730323637
"14","RURAL","14",0.000979094615441052
"15","RURAL","15",0.00104176935933274
"16","RURAL","16",0.000848111027515056
"17","RURAL","17",0.000221984351727676
"18","RURAL","18",0.000122313803218159
"19","RURAL","19",0.0000379807495794384
"20","RURAL","20",0.000060381037264814
"21","RURAL","21",0.00000445279316184199
"22","RURAL","22",0.00000709864970754376
"23","RURAL","23",0.0000121202866509415
"24","RURAL","24",0.0000348099970843569
"25","RURAL","25",0.00000729187686096994
"26","RURAL","26",0.00000911460722929843
"27","RURAL","28",0.0000075025099832539
"28","RURAL","31",0.0000073517677246555
"29","URBAN","1",0.0884128853847334
"30","URBAN","2",0.114763337390687
"31","URBAN","3",0.171433490704178
"32","URBAN","4",0.260191295269699
"33","URBAN","5",0.168302525544775
"34","URBAN","6",0.0912608921351962
"35","URBAN","7",0.0443812423791073
"36","URBAN","8",0.0229109886003069
"37","URBAN","9",0.0158805958473471
"38","URBAN","10",0.0108980822624969
"39","URBAN","11",0.00443606859126318
"40","URBAN","12",0.00241805101686067
"41","URBAN","13",0.00179100353566408
"42","URBAN","14",0.000828936798707226
"43","URBAN","15",0.000702321389032035
"44","URBAN","16",0.000883678407783975
"45","URBAN","17",0.000147316573400923
"46","URBAN","18",0.000137081514460233
"47","URBAN","19",0.000112331300126751
"48","URBAN","20",0.0000443307624470975
"49","URBAN","21",0.0000334722876727722
"50","URBAN","22",0.0000107236053167612
"51","URBAN","26",0.00000156570954608473
"52","URBAN","28",0.00000706692469829478
"53","URBAN","29",0.0000107160644946609
