"","Sector","V1","N"
"1","RURAL","Casual labour in agriculture",0.174232599024461
"2","RURAL","Casual labour in non-agriculture",0.140706044190412
"3","RURAL","Others",0.0596269955569724
"4","RURAL","Regular wage/Salary earning",0.100057416469368
"5","RURAL","Self-Employed in Agriculture",0.380967685991084
"6","RURAL","Self-Employed in Non-Agriculture",0.144409258767703
"7","URBAN","Casual Labour",0.150814018064079
"8","URBAN","Others",0.091859809444888
"9","URBAN","Regular Wage/Salary Earning",0.40372593697499
"10","URBAN","Self-Employed",0.353600235516044
