"","Sector","hhsize","rates"
"1","RURAL","1",0.0254994960616029
"2","RURAL","2",0.0701190668152421
"3","RURAL","3",0.112019855057074
"4","RURAL","4",0.210655217807001
"5","RURAL","5",0.20625651766093
"6","RURAL","6",0.15304583517485
"7","RURAL","7",0.0911872845917877
"8","RURAL","8",0.056860593271219
"9","RURAL","9",0.0292065575249001
"10","RURAL","10",0.0200407965069206
"11","RURAL","11",0.0138232107310806
"12","RURAL","12",0.0103792988581214
"13","RURAL","13",0.00800574079322728
"14","RURAL","14",0.00515196788163159
"15","RURAL","15",0.00558925564878193
"16","RURAL","16",0.00231677618831251
"17","RURAL","18",0.0039174084092622
"18","RURAL","22",0.00189348600914991
"19","RURAL","23",0.00157373366013072
"20","RURAL","19",0.00537441539115646
"21","RURAL","26",0.00130208333333333
"22","RURAL","17",0.00253573325633602
"23","RURAL","20",0.00326132721275467
"24","RURAL","21",0.000716912307102181
"25","RURAL","30",0.00057372346528973
"26","RURAL","32",0.0104166666666667
"27","URBAN","1",0.0547935156325254
"28","URBAN","2",0.0704612877702237
"29","URBAN","3",0.139710593364574
"30","URBAN","4",0.244301848686959
"31","URBAN","5",0.184653599662174
"32","URBAN","6",0.133656560493544
"33","URBAN","7",0.0743097069760483
"34","URBAN","8",0.0493203775502195
"35","URBAN","9",0.0311908864911446
"36","URBAN","10",0.0215732426759266
"37","URBAN","11",0.0140436154537623
"38","URBAN","12",0.0120978851268815
"39","URBAN","13",0.00575185938158629
"40","URBAN","15",0.00587453206911411
"41","URBAN","17",0.00474589357798635
"42","URBAN","14",0.00530979062761742
"43","URBAN","16",0.00618714475836834
"44","URBAN","19",0.000834757597327657
"45","URBAN","18",0.00123112835009551
"46","URBAN","22",0.000406834825061025
"47","URBAN","21",0.00185982292968754
"48","URBAN","25",0.00197274703853651
"49","URBAN","30",0.00109649122807018
"50","URBAN","24",0.00126262626262626
"51","URBAN","20",0.00326273671861907
"52","URBAN","23",0.015625
