"","Sector","hhtype","rates"
"1","RURAL","Self-employment in agricultur",0.383790162591334
"2","RURAL","Self-employment in non-agriculture",0.133907212846823
"3","RURAL","Regular wage/Salary earning",0.105718117846328
"4","RURAL","Casual labour in agriculture",0.173635259666425
"5","RURAL","Casual labour in non-agriculture",0.140783223996095
"6","RURAL","others ",0.062166023052995
"7","URBAN","Self-employment in agricultur",0.344381223085597
"8","URBAN","Self-employment in non-agriculture",0.409084331879675
"9","URBAN","Regular wage/Salary earning",0.151194700042132
"10","URBAN","Casual labour in agriculture",0
"11","URBAN","Casual labour in non-agriculture",0
"12","URBAN","others ",0.0953397449925961
