"","Sector","hhsize","rates"
"1","RURAL","1",0.0245346637791606
"2","RURAL","2",0.069163080128293
"3","RURAL","3",0.13404972724033
"4","RURAL","4",0.248389484360865
"5","RURAL","5",0.215658323967214
"6","RURAL","6",0.13909372515694
"7","RURAL","7",0.0744537953343019
"8","RURAL","8",0.0410373091367636
"9","RURAL","9",0.0205049480523041
"10","RURAL","10",0.013514624852655
"11","RURAL","11",0.00745634474629239
"12","RURAL","12",0.00466021546643274
"13","RURAL","13",0.00317991173003646
"14","RURAL","14",0.00131582554346336
"15","RURAL","15",0.00142547767208531
"16","RURAL","16",0.000520847610954248
"17","RURAL","17",0.000356369418021327
"18","RURAL","18",0.000137065160777434
"19","RURAL","19",0.000109652128621947
"20","RURAL","20",0.00016447819293292
"21","RURAL","21",0.0000548260643109734
"22","RURAL","22",0.0000548260643109734
"23","RURAL","23",0.0000822390964664602
"24","RURAL","26",0.0000274130321554867
"25","RURAL","30",0.0000274130321554867
"26","RURAL","32",0.0000274130321554867
"27","URBAN","1",0.05212755119367
"28","URBAN","2",0.0716881176350732
"29","URBAN","3",0.163004720345027
"30","URBAN","4",0.291676571467382
"31","URBAN","5",0.190817400753897
"32","URBAN","6",0.106530376608823
"33","URBAN","7",0.052501103677794
"34","URBAN","8",0.0293408496621048
"35","URBAN","9",0.0163004720345027
"36","URBAN","10",0.0103575916052569
"37","URBAN","11",0.00499201956056644
"38","URBAN","12",0.00383740279145584
"39","URBAN","13",0.00275070465582232
"40","URBAN","14",0.0012225354025877
"41","URBAN","15",0.00108669813563351
"42","URBAN","16",0.000645227018032397
"43","URBAN","17",0.000339593167385472
"44","URBAN","18",0.000203755900431283
"45","URBAN","19",0.000169796583692736
"46","URBAN","20",0.0000679186334770944
"47","URBAN","21",0.000101877950215642
"48","URBAN","22",0.0000339593167385472
"49","URBAN","23",0.0000679186334770944
"50","URBAN","24",0.0000339593167385472
"51","URBAN","25",0.0000679186334770944
"52","URBAN","30",0.0000339593167385472
