"","Sector","hhtype","N"
"1","RURAL","Self-employment in agricultur",0.406124071383536
"2","RURAL","Self-employment in non-agriculture",0.147865895446695
"3","RURAL","Regular wage/Salary earning",0.13769566051701
"4","RURAL","Casual labour in agriculture",0.136544313166479
"5","RURAL","Casual labour in non-agriculture",0.122399188574248
"6","RURAL","others ",0.0493708709120316
"7","URBAN","Self-employment in agricultur",0.389309607090705
"8","URBAN","Self-employment in non-agriculture",0.394539341868442
"9","URBAN","Regular wage/Salary earning",0.131116921927531
"10","URBAN","Casual labour in agriculture",0
"11","URBAN","Casual labour in non-agriculture",0
"12","URBAN","others ",0.0850341291133222
