"","Sector","Religion","rates"
"1","RURAL","Hinduism        ",0.779949558638083
"2","RURAL","Islam           ",0.118783924557267
"3","RURAL","Christianity    ",0.0645594604967378
"4","RURAL","Sikhism         ",0.0187236142332365
"5","RURAL","Jainism         ",0.000383792971105872
"6","RURAL","Buddhism        ",0.0110203410274686
"7","RURAL","Zoroastrianism  ",0.0000822413509512583
"8","RURAL","others          ",0.00649706672514941
"9","URBAN","Hinduism        ",0.76320168438211
"10","URBAN","Islam           ",0.144191258871872
"11","URBAN","Christianity    ",0.0557611980846945
"12","URBAN","Sikhism         ",0.0167079838353652
"13","URBAN","Jainism         ",0.00614663632967705
"14","URBAN","Buddhism        ",0.00835399191768262
"15","URBAN","Zoroastrianism  ",0.000373552484124019
"16","URBAN","others          ",0.00526369409447482
