"","sector","hhtype","rates"
"1","RURAL","casual labour in agriculture",0.180913715384079
"2","RURAL","casual labour in non-agriculture",0.14516428034162
"3","RURAL","others",0.065281428867375
"4","RURAL","regular wage/salary earning in agriculture",0.0098327955486556
"5","RURAL","regular wage/salary earning in non-agriculture",0.0857479205893052
"6","RURAL","self-employed in agriculture",0.377417796768191
"7","RURAL","self-employed in non-agriculture",0.137061536162938
"8","URBAN","casual labor",0.140788507923734
"9","URBAN","others",0.125261623607568
"10","URBAN","regular wage/salary earning",0.396321224052366
"11","URBAN","self-emplyed",0.337918974783353
