"","sector","hhtype","rates"
"1","RURAL","casual labour in agriculture",0.111455808609943
"2","RURAL","casual labour in non-agriculture",0.14987111118539
"3","RURAL","others",0.0564225099235491
"4","RURAL","regular wage/salary earning in agriculture",0.0103254034395546
"5","RURAL","regular wage/salary earning in non-agriculture",0.0777733576371936
"6","RURAL","self-employed in agriculture",0.46481473268339
"7","RURAL","self-employed in non-agriculture",0.137557490209267
"8","URBAN","casual labor",0.139237450210463
"9","URBAN","others",0.0932346516761526
"10","URBAN","regular wage/salary earning",0.302233212580076
"11","URBAN","self-emplyed",0.47349098366864
