"","sector","hhtype","rates"
"1","RURAL","casual labour in agriculture",0.180913715384079
"2","RURAL","casual labour in non-agriculture",0.14516428034162
"3","RURAL","others",0.0650421168634521
"4","RURAL","regular wage/salary earning in agriculture",0.00917620696983662
"5","RURAL","regular wage/salary earning in non-agriculture",0.0852243475098839
"6","RURAL","self-employed in agriculture",0.377417796768191
"7","RURAL","self-employed in non-agriculture",0.137061536162938
"8","URBAN","casual labor",0.140788507923734
"9","URBAN","others",0.125063190497654
"10","URBAN","regular wage/salary earning",0.39622932679526
"11","URBAN","self-emplyed",0.337918974783353
