"","l1_name","l1_code","l2_name","l2_code"
"1","Bihar",10,"Pashchim Champaran",203
"2","Bihar",10,"Purba Champaran",204
"3","Bihar",10,"Sheohar",205
"4","Bihar",10,"Sitamarhi",206
"5","Bihar",10,"Madhubani",207
"6","Bihar",10,"Supaul",208
"7","Bihar",10,"Araria",209
"8","Bihar",10,"Kishanganj",210
"9","Bihar",10,"Purnia",211
"10","Bihar",10,"Katihar",212
"11","Bihar",10,"Madhepura",213
"12","Bihar",10,"Saharsa",214
"13","Bihar",10,"Darbhanga",215
"14","Bihar",10,"Muzaffarpur",216
"15","Bihar",10,"Gopalganj",217
"16","Bihar",10,"Siwan",218
"17","Bihar",10,"Saran",219
"18","Bihar",10,"Vaishali",220
"19","Bihar",10,"Samastipur",221
"20","Bihar",10,"Begusarai",222
"21","Bihar",10,"Khagaria",223
"22","Bihar",10,"Bhagalpur",224
"23","Bihar",10,"Banka",225
"24","Bihar",10,"Munger",226
"25","Bihar",10,"Lakhisarai",227
"26","Bihar",10,"Sheikhpura",228
"27","Bihar",10,"Nalanda",229
"28","Bihar",10,"Patna",230
"29","Bihar",10,"Bhojpur",231
"30","Bihar",10,"Buxar",232
"31","Bihar",10,"Kaimur (Bhabua)",233
"32","Bihar",10,"Rohtas",234
"33","Bihar",10,"Aurangabad",235
"34","Bihar",10,"Gaya",236
"35","Bihar",10,"Nawada",237
"36","Bihar",10,"Jamui",238
"37","Bihar",10,"Jehanabad",239
"38","Bihar",10,"Arwal",240
"39","Sikkim",11,"North  District",241
"40","Sikkim",11,"West District",242
"41","Sikkim",11,"South District",243
"42","Sikkim",11,"East District",244
"43","Arunachal Pradesh",12,"Papum Pare",248
"44","Arunachal Pradesh",12,"West Siang",250
"45","Arunachal Pradesh",12,"East Siang",251
"46","Arunachal Pradesh",12,"Changlang",253
"47","Arunachal Pradesh",12,"Tirap",254
"48","Arunachal Pradesh",12,"Lower Dibang Valley",258
"49","Arunachal Pradesh",12,"Lohit",259
"50","Arunachal Pradesh",12,"Anjaw",260
"51","Nagaland",13,"Mon",261
"52","Nagaland",13,"Mokokchung",262
"53","Nagaland",13,"Zunheboto",263
"54","Nagaland",13,"Wokha",264
"55","Nagaland",13,"Dimapur",265
"56","Nagaland",13,"Phek",266
"57","Nagaland",13,"Tuensang",267
"58","Nagaland",13,"Longleng",268
"59","Nagaland",13,"Kiphire",269
"60","Nagaland",13,"Kohima",270
"61","Nagaland",13,"Peren",271
"62","Manipur",14,"Senapati",272
"63","Manipur",14,"Tamenglong",273
"64","Manipur",14,"Churachandpur",274
"65","Manipur",14,"Bishnupur",275
"66","Manipur",14,"Thoubal",276
"67","Manipur",14,"Imphal West",277
"68","Manipur",14,"Imphal East",278
"69","Manipur",14,"Ukhrul",279
"70","Manipur",14,"Chandel",280
"71","Mizoram",15,"Mamit",281
"72","Mizoram",15,"Kolasib",282
"73","Mizoram",15,"Aizawl",283
"74","Mizoram",15,"Champhai",284
"75","Mizoram",15,"Serchhip",285
"76","Mizoram",15,"Lunglei",286
"77","Mizoram",15,"Lawngtlai",287
"78","Mizoram",15,"Saiha",288
"79","Tripura",16,"West Tripura",289
"80","Tripura",16,"South Tripura",290
"81","Tripura",16,"Dhalai",291
"82","Tripura",16,"North Tripura",292
"83","Meghalaya",17,"West Garo Hills",293
"84","Meghalaya",17,"East Garo Hills",294
"85","Meghalaya",17,"South Garo Hills",295
"86","Meghalaya",17,"West Khasi Hills",296
"87","Meghalaya",17,"Ribhoi",297
"88","Meghalaya",17,"East Khasi Hills",298
"89","Meghalaya",17,"Jaintia Hills",299
"90","Assam",18,"Kokrajhar",300
"91","Assam",18,"Dhubri",301
"92","Assam",18,"Goalpara",302
"93","Assam",18,"Barpeta",303
"94","Assam",18,"Morigaon",304
"95","Assam",18,"Nagaon",305
"96","Assam",18,"Sonitpur",306
"97","Assam",18,"Lakhimpur",307
"98","Assam",18,"Dhemaji",308
"99","Assam",18,"Tinsukia",309
"100","Assam",18,"Dibrugarh",310
"101","Assam",18,"Sivasagar",311
"102","Assam",18,"Jorhat",312
