"","l2_code","l2_name"
"1",203,"Pashchim Champaran"
"2",204,"Purba Champaran"
"3",205,"Sheohar"
"4",206,"Sitamarhi"
"5",207,"Madhubani"
"6",208,"Supaul"
"7",209,"Araria"
"8",210,"Kishanganj"
"9",211,"Purnia"
"10",212,"Katihar"
"11",213,"Madhepura"
"12",214,"Saharsa"
"13",215,"Darbhanga"
"14",216,"Muzaffarpur"
"15",217,"Gopalganj"
"16",218,"Siwan"
"17",219,"Saran"
"18",220,"Vaishali"
"19",221,"Samastipur"
"20",222,"Begusarai"
"21",223,"Khagaria"
"22",224,"Bhagalpur"
"23",225,"Banka"
"24",226,"Munger"
"25",227,"Lakhisarai"
"26",228,"Sheikhpura"
"27",229,"Nalanda"
"28",230,"Patna"
"29",231,"Bhojpur"
"30",232,"Buxar"
"31",233,"Kaimur (Bhabua)"
"32",234,"Rohtas"
"33",235,"Aurangabad"
"34",236,"Gaya"
"35",237,"Nawada"
"36",238,"Jamui"
"37",239,"Jehanabad"
"38",240,"Arwal"
"39",241,"North  District"
"40",242,"West District"
"41",243,"South District"
"42",244,"East District"
"43",248,"Papum Pare"
"44",250,"West Siang"
"45",251,"East Siang"
"46",253,"Changlang"
"47",254,"Tirap"
"48",258,"Lower Dibang Valley"
"49",259,"Lohit"
"50",260,"Anjaw"
"51",261,"Mon"
"52",262,"Mokokchung"
"53",263,"Zunheboto"
"54",264,"Wokha"
"55",265,"Dimapur"
"56",266,"Phek"
"57",267,"Tuensang"
"58",268,"Longleng"
"59",269,"Kiphire"
"60",270,"Kohima"
"61",271,"Peren"
"62",272,"Senapati"
"63",273,"Tamenglong"
"64",274,"Churachandpur"
"65",275,"Bishnupur"
"66",276,"Thoubal"
"67",277,"Imphal West"
"68",278,"Imphal East"
"69",279,"Ukhrul"
"70",280,"Chandel"
"71",281,"Mamit"
"72",282,"Kolasib"
"73",283,"Aizawl"
"74",284,"Champhai"
"75",285,"Serchhip"
"76",286,"Lunglei"
"77",287,"Lawngtlai"
"78",288,"Saiha"
"79",289,"West Tripura"
"80",290,"South Tripura"
"81",291,"Dhalai"
"82",292,"North Tripura"
"83",293,"West Garo Hills"
"84",294,"East Garo Hills"
"85",295,"South Garo Hills"
"86",296,"West Khasi Hills"
"87",297,"Ribhoi"
"88",298,"East Khasi Hills"
"89",299,"Jaintia Hills"
"90",300,"Kokrajhar"
"91",301,"Dhubri"
"92",302,"Goalpara"
"93",303,"Barpeta"
"94",304,"Morigaon"
"95",305,"Nagaon"
"96",306,"Sonitpur"
"97",307,"Lakhimpur"
"98",308,"Dhemaji"
"99",309,"Tinsukia"
"100",310,"Dibrugarh"
"101",311,"Sivasagar"
"102",312,"Jorhat"
"103",313,"Golaghat"
"104",314,"Karbi Anglong"
"105",315,"Dima Hasao"
"106",316,"Cachar"
"107",317,"Karimganj"
"108",318,"Hailakandi"
"109",319,"Bongaigaon"
"110",320,"Chirang"
"111",321,"Kamrup"
"112",322,"Kamrup Metropolitan"
"113",323,"Nalbari"
"114",324,"Baksa"
"115",325,"Darrang"
"116",326,"Udalguri"
"117",327,"Darjiling"
"118",328,"Jalpaiguri"
"119",329,"Koch Bihar"
"120",330,"Uttar Dinajpur"
"121",331,"Dakshin Dinajpur"
"122",332,"Maldah"
"123",333,"Murshidabad"
"124",334,"Birbhum"
"125",335,"Barddhaman"
"126",336,"Nadia"
"127",337,"North Twenty Four Parganas"
"128",338,"Hugli"
"129",339,"Bankura"
"130",340,"Puruliya"
"131",341,"Haora"
"132",342,"Kolkata"
"133",343,"South Twenty Four Parganas"
"134",344,"Paschim Medinipur"
"135",345,"Purba Medinipur"
"136",10,"Srinagar"
"137",11,"Ganderbal"
"138",12,"Pulwama"
"139",13,"Shupiyan"
"140",14,"Anantnag"
"141",15,"Kulgam"
"142",16,"Doda"
"143",17,"Ramban"
"144",18,"Kishtwar"
