"","l2_code","l2_name","nss.name"
"1",241,"North  District",NA
"2",315,"Dima Hasao",NA
"3",322,"Kamrup Metropolitan",NA
"4",11,"Ganderbal",NA
"5",13,"Shupiyan",NA
"6",15,"Kulgam",NA
"7",17,"Ramban",NA
"8",18,"Kishtwar",NA
"9",20,"Reasi",NA
"10",22,"Samba",NA
"11",3,"Leh(Ladakh)",NA
"12",9,"Bandipore",NA
"13",353,"Pakur",NA
"14",361,"Ramgarh",NA
"15",365,"Khunti",NA
"16",392,"Subarnapur",NA
"17",407,"Kabeerdham",NA
"18",413,"Uttar Bastar Kanker",NA
"19",416,"Dakshin Bastar Dantewada",NA
"20",440,"Khargone (West Nimar)",NA
"21",466,"Khandwa (East Nimar)",NA
"22",469,"Banas Kantha",NA
"23",493,"Tapi",NA
"24",550,"Sri Potti Sriramulu Nellore",NA
"25",551,"Y.S.R.",NA
"26",580,"Yadgir",NA
"27",584,"Ramanagara",NA
"28",593,"Palakkad",NA
"29",627,"Thoothukkudi",NA
"30",633,"Tiruppur",NA
"31",639,"North  & Middle Andaman",NA
"32",39,"Shahid Bhagat Singh Nagar",NA
"33",52,"Sahibzada Ajit Singh Nagar",NA
"34",89,"Palwal",NA
"35",91,"North",NA
"36",93,"East",NA
"37",96,"West",NA
"38",98,"South",NA
"39",144,"Mahamaya Nagar",NA
"40",202,"Kanshiram Nagar",NA
