----------------------------------------------------------------------------------
          lnwelf |      Coef.   Std. Err.      z    P>|z|     [95% Conf. Interval]
-----------------+----------------------------------------------------------------
       Dagecat1h |  -.2898499   .0111682   -25.95   0.000    -.3117392   -.2679606
        Dagecat2 |   .4989552   .1014677     4.92   0.000     .3000821    .6978282
       Dagecat2h |   .0454611   .0129386     3.51   0.000     .0201018    .0708203
      Dagecat2ht |  -.0126259    .002075    -6.08   0.000    -.0166928   -.0085591
        Dagecat3 |  -.0309439   .1380493    -0.22   0.823    -.3015155    .2396278
       Dagecat3h |   .1560332   .0146345    10.66   0.000     .1273501    .1847163
      Dagecat3ht |  -.0069329   .0029125    -2.38   0.017    -.0126413   -.0012244
        Dagecat4 |  -.1236317   .1322281    -0.93   0.350     -.382794    .1355307
       Dagecat4h |   .2696004   .0140896    19.13   0.000     .2419853    .2972155
      Dagecat4ht |  -.0103918   .0027431    -3.79   0.000    -.0157682   -.0050153
        Dagecat5 |   .7806459   .1330903     5.87   0.000     .5197937    1.041498
       Dagecat5h |   .1313396   .0134502     9.76   0.000     .1049777    .1577015
      Dagecat5ht |  -.0094992   .0024455    -3.88   0.000    -.0142922   -.0047061
     Dhhsizecat2 |   .7387374    .098572     7.49   0.000     .5455398     .931935
    Dhhsizecat2h |   .2741135   .0065528    41.83   0.000     .2612703    .2869567
   Dhhsizecat2ht |   .0077966   .0014801     5.27   0.000     .0048956    .0106976
     Dhhsizecat3 |  -.0576793   .0813143    -0.71   0.478    -.2170524    .1016938
    Dhhsizecat3h |   .2101586   .0051876    40.51   0.000     .1999911    .2203261
   Dhhsizecat3ht |   .0059305    .001219     4.87   0.000     .0035414    .0083196
     Dhhsizecat4 |   .0745061   .0565319     1.32   0.188    -.0362945    .1853066
    Dhhsizecat4h |   .1594222   .0041302    38.60   0.000     .1513271    .1675173
   Dhhsizecat4ht |   .0030193   .0009816     3.08   0.002     .0010954    .0049433
     Dhhsizecat5 |   .0335601    .050745     0.66   0.508    -.0658982    .1330184
    Dhhsizecat5h |   .0898954   .0039016    23.04   0.000     .0822485    .0975424
   Dhhsizecat5ht |   .0004833   .0009451     0.51   0.609    -.0013691    .0023358
           agrih |  -.0858381   .0040157   -21.38   0.000    -.0937087   -.0779674
     casualurban |  -.2417788   .1764084    -1.37   0.171     -.587533    .1039753
    casualurbant |   .1539989   .0327576     4.70   0.000     .0897951    .2182027
            hhrx |   .3537222   .0410537     8.62   0.000     .2732584     .434186
           hhrxh |   .1297667   .0077001    16.85   0.000     .1146748    .1448585
          hhrxht |  -.0035895   .0019818    -1.81   0.070    -.0074737    .0002947
    highskillocc |   .6261506    .055545    11.27   0.000     .5172843    .7350169
   highskillocch |   .2173122   .0081161    26.78   0.000     .2014049    .2332196
  highskilloccht |  -.0092242   .0015213    -6.06   0.000    -.0122058   -.0062425
           hindu |  -.2289075   .0165508   -13.83   0.000    -.2613465   -.1964684
          hinduh |   .0193726   .0059082     3.28   0.001     .0077929    .0309524
         hinduht |  -.0019113   .0013754    -1.39   0.165     -.004607    .0007844
             ind |   .3352078   .0319529    10.49   0.000     .2725813    .3978343
            indh |  -.0900315   .0052847   -17.04   0.000    -.1003893   -.0796736
           indht |   .0010146   .0008989     1.13   0.259    -.0007472    .0027764
  middleskillocc |   .8113436   .0864862     9.38   0.000     .6418338    .9808535
 middleskillocch |   .0027217   .0061282     0.44   0.657    -.0092893    .0147326
middleskilloccht |   .0094305    .001262     7.47   0.000     .0069569    .0119041
 middleskillocct |  -.1072172   .0184426    -5.81   0.000    -.1433641   -.0710703
      rainfallQ1 |  -.0391234   .0064973    -6.02   0.000    -.0518578   -.0263889
    rainfallQ1sq |   .0223379   .0075676     2.95   0.003     .0075058    .0371701
      rainfallQ2 |   .0391357   .0063199     6.19   0.000      .026749    .0515224
    rainfallQ2sq |  -.0436952   .0065092    -6.71   0.000     -.056453   -.0309373
      rainfallQ3 |  -.0120026    .007063    -1.70   0.089    -.0258458    .0018407
    rainfallQ3sq |   .1261027   .0086507    14.58   0.000     .1091476    .1430578
      rainfallQ4 |   .0222121   .0059648     3.72   0.000     .0105213    .0339029
    rainfallQ4sq |  -.0419208   .0062869    -6.67   0.000    -.0542429   -.0295988
           recrx |  -.0320127   .0422942    -0.76   0.449    -.1149079    .0508825
          recrxh |   .1363681   .0058135    23.46   0.000     .1249738    .1477624
         recrxht |   .0032139   .0014484     2.22   0.026     .0003751    .0060528
          recrxt |  -.0097963   .0094091    -1.04   0.298    -.0282377    .0086452
    regwageurban |   -.295701   .0799797    -3.70   0.000    -.4524584   -.1389437
   regwageurbant |   .0634194   .0149798     4.23   0.000     .0340595    .0927792
           scsth |  -.1586439   .0044209   -35.88   0.000    -.1673087    -.149979
          scstht |   .0024239   .0010652     2.28   0.023     .0003361    .0045117
    selfemployed |   .1198696    .027735     4.32   0.000       .06551    .1742291
   selfemployedh |   .1936712   .0033173    58.38   0.000     .1871695    .2001729
  selfemployedht |  -.0082716   .0007893   -10.48   0.000    -.0098186   -.0067247
               t |   .0298235   .0038753     7.70   0.000      .022228     .037419
       transp2rx |  -.0372971   .0218096    -1.71   0.087    -.0800431    .0054489
      transp2rxh |   .1293436     .00477    27.12   0.000     .1199945    .1386927
     transp2rxht |  -.0100656   .0010596    -9.50   0.000    -.0121425   -.0079888
      transp2rxt |   .0131219    .004218     3.11   0.002     .0048547     .021389
           _cons |   3.402244   .0653539    52.06   0.000     3.274153    3.530336
----------------------------------------------------------------------------------
