"","sector","hhsize","rates"
"1","RURAL","1",0.0490579229196921
"2","RURAL","2",0.1063579352199
"3","RURAL","3",0.145043927401434
"4","RURAL","4",0.234441529100032
"5","RURAL","5",0.198845427388748
"6","RURAL","6",0.131318135056966
"7","RURAL","7",0.0646982398054917
"8","RURAL","8",0.0320011760025938
"9","RURAL","9",0.0156973786629919
"10","RURAL","10",0.00994205565051757
"11","RURAL","11",0.0049467683769505
"12","RURAL","12",0.00361397751551748
"13","RURAL","13",0.00214142573136754
"14","RURAL","14",0.000985026457330489
"15","RURAL","15",0.00117898608731287
"16","RURAL","17",0.00047628587894553
"17","RURAL","18",0.000452153994707106
"18","RURAL","16",0.00130234438255263
"19","RURAL","20",0.0000119485828728731
"20","RURAL","24",0.00171145444787593
"21","RURAL","19",0.000498212784612684
"22","RURAL","22",0.000131354875761707
"23","RURAL","32",0.000255899558842139
"24","RURAL","27",0.000135194616941528
"25","RURAL","68",0.0000615633923201179
"26","RURAL","21",0.000294494701303962
"27","URBAN","1",0.13108035942309
"28","URBAN","2",0.128336404272679
"29","URBAN","3",0.180391958378683
"30","URBAN","4",0.251326888391681
"31","URBAN","5",0.148895449506813
"32","URBAN","6",0.0832407981155384
"33","URBAN","7",0.0363794215808502
"34","URBAN","8",0.0174704863426608
"35","URBAN","9",0.00956083384018627
"36","URBAN","10",0.00702051093040195
"37","URBAN","11",0.00274876538328747
"38","URBAN","12",0.00181253341896648
"39","URBAN","13",0.00164264722791251
"40","URBAN","14",0.0010971928246087
"41","URBAN","15",0.000550904649058481
"42","URBAN","18",0.000451958989112049
"43","URBAN","20",0.000200489509720918
"44","URBAN","16",0.000312841029705739
"45","URBAN","17",0.000689992926309258
"46","URBAN","19",0.000447814829325008
"47","URBAN","21",0.0000382589990756326
"48","URBAN","23",0.0000627124235984086
"49","URBAN","25",0.00000815774827116802
"50","URBAN","28",0.0000503637742721976
"51","URBAN","22",0.000881451406154779
"52","URBAN","24",0.0000974262512309025
"53","URBAN","27",0.0000171452256847428
